session_id,trial_number,choice,won,loss,total,variant,model
1,1,Q,100,0,2100,3,deepseek
1,2,Q,100,0,2200,3,deepseek
1,3,Q,100,-250,2050,3,deepseek
1,4,K,100,0,2150,3,deepseek
1,5,Q,100,0,2250,3,deepseek
1,6,K,100,0,2350,3,deepseek
1,7,Q,100,0,2450,3,deepseek
1,8,Q,100,0,2550,3,deepseek
1,9,K,100,0,2650,3,deepseek
1,10,K,100,-1250,1500,3,deepseek
1,11,Q,100,0,1600,3,deepseek
1,12,Q,100,-250,1450,3,deepseek
1,13,Q,100,0,1550,3,deepseek
1,14,Q,100,0,1650,3,deepseek
1,15,Q,100,-250,1500,3,deepseek
1,16,K,100,0,1600,3,deepseek
1,17,K,100,0,1700,3,deepseek
1,18,Q,100,-250,1550,3,deepseek
1,19,K,100,0,1650,3,deepseek
1,20,K,100,-1250,500,3,deepseek
1,21,K,100,0,600,3,deepseek
1,22,K,100,0,700,3,deepseek
1,23,Q,100,0,800,3,deepseek
1,24,Q,100,0,900,3,deepseek
1,25,Q,100,-250,750,3,deepseek
1,26,K,100,0,850,3,deepseek
1,27,Q,100,-250,700,3,deepseek
1,28,S,50,0,750,3,deepseek
1,29,Q,100,-250,600,3,deepseek
1,30,K,100,0,700,3,deepseek
1,31,K,100,-1250,-450,3,deepseek
1,32,S,50,-50,-450,3,deepseek
1,33,S,50,0,-400,3,deepseek
1,34,S,50,0,-350,3,deepseek
1,35,Q,100,-250,-500,3,deepseek
1,36,S,50,-50,-500,3,deepseek
1,37,S,50,0,-450,3,deepseek
1,38,S,50,-50,-450,3,deepseek
1,39,Q,100,0,-350,3,deepseek
1,40,K,100,0,-250,3,deepseek
1,41,S,50,-50,-250,3,deepseek
1,42,S,50,-50,-250,3,deepseek
1,43,S,50,0,-200,3,deepseek
1,44,K,100,-1250,-1350,3,deepseek
1,45,S,50,0,-1300,3,deepseek
1,46,S,50,0,-1250,3,deepseek
1,47,S,50,0,-1200,3,deepseek
1,48,S,50,0,-1150,3,deepseek
1,49,S,50,-50,-1150,3,deepseek
1,50,S,50,0,-1100,3,deepseek
1,51,S,50,-50,-1100,3,deepseek
1,52,S,50,0,-1050,3,deepseek
1,53,S,50,-50,-1050,3,deepseek
1,54,S,50,-50,-1050,3,deepseek
1,55,S,50,0,-1000,3,deepseek
1,56,S,50,-50,-1000,3,deepseek
1,57,Q,100,-250,-1150,3,deepseek
1,58,S,50,0,-1100,3,deepseek
1,59,Q,100,-250,-1250,3,deepseek
1,60,S,50,-50,-1250,3,deepseek
1,61,S,50,0,-1200,3,deepseek
1,62,S,50,-50,-1200,3,deepseek
1,63,S,50,0,-1150,3,deepseek
1,64,S,50,0,-1100,3,deepseek
1,65,S,50,0,-1050,3,deepseek
1,66,S,50,0,-1000,3,deepseek
1,67,S,50,0,-950,3,deepseek
1,68,S,50,0,-900,3,deepseek
1,69,S,50,0,-850,3,deepseek
1,70,Q,100,0,-750,3,deepseek
1,71,Q,100,-250,-900,3,deepseek
1,72,S,50,0,-850,3,deepseek
1,73,S,50,-50,-850,3,deepseek
1,74,S,50,0,-800,3,deepseek
1,75,Q,100,0,-700,3,deepseek
1,76,S,50,0,-650,3,deepseek
1,77,S,50,0,-600,3,deepseek
1,78,S,50,0,-550,3,deepseek
1,79,S,50,-50,-550,3,deepseek
1,80,S,50,0,-500,3,deepseek
1,81,S,50,-50,-500,3,deepseek
1,82,S,50,-50,-500,3,deepseek
1,83,S,50,-50,-500,3,deepseek
1,84,S,50,0,-450,3,deepseek
1,85,Q,100,-250,-600,3,deepseek
1,86,Q,100,0,-500,3,deepseek
1,87,S,50,0,-450,3,deepseek
1,88,S,50,0,-400,3,deepseek
1,89,Q,100,0,-300,3,deepseek
1,90,S,50,-50,-300,3,deepseek
1,91,Q,100,-250,-450,3,deepseek
1,92,S,50,-50,-450,3,deepseek
1,93,Q,100,0,-350,3,deepseek
1,94,Q,100,0,-250,3,deepseek
1,95,K,100,-1250,-1400,3,deepseek
1,96,Q,100,0,-1300,3,deepseek
1,97,Q,100,0,-1200,3,deepseek
1,98,Q,100,0,-1100,3,deepseek
1,99,Q,100,-250,-1250,3,deepseek
1,100,Q,100,-250,-1400,3,deepseek
2,1,Q,100,0,2100,3,deepseek
2,2,Q,100,-250,1950,3,deepseek
2,3,Q,100,0,2050,3,deepseek
2,4,K,100,-1250,900,3,deepseek
2,5,Q,100,0,1000,3,deepseek
2,6,D,50,0,1050,3,deepseek
2,7,Q,100,-250,900,3,deepseek
2,8,Q,100,-250,750,3,deepseek
2,9,Q,100,-250,600,3,deepseek
2,10,K,100,0,700,3,deepseek
2,11,Q,100,0,800,3,deepseek
2,12,D,50,0,850,3,deepseek
2,13,D,50,0,900,3,deepseek
2,14,D,50,0,950,3,deepseek
2,15,Q,100,-250,800,3,deepseek
2,16,D,50,0,850,3,deepseek
2,17,D,50,0,900,3,deepseek
2,18,D,50,0,950,3,deepseek
2,19,D,50,0,1000,3,deepseek
2,20,D,50,0,1050,3,deepseek
2,21,D,50,0,1100,3,deepseek
2,22,D,50,0,1150,3,deepseek
2,23,D,50,0,1200,3,deepseek
2,24,Q,100,-250,1050,3,deepseek
2,25,D,50,0,1100,3,deepseek
2,26,D,50,0,1150,3,deepseek
2,27,D,50,0,1200,3,deepseek
2,28,D,50,-250,1000,3,deepseek
2,29,D,50,0,1050,3,deepseek
2,30,D,50,0,1100,3,deepseek
2,31,D,50,0,1150,3,deepseek
2,32,D,50,0,1200,3,deepseek
2,33,D,50,0,1250,3,deepseek
2,34,D,50,0,1300,3,deepseek
2,35,D,50,0,1350,3,deepseek
2,36,D,50,0,1400,3,deepseek
2,37,D,50,0,1450,3,deepseek
2,38,D,50,0,1500,3,deepseek
2,39,D,50,-250,1300,3,deepseek
2,40,D,50,0,1350,3,deepseek
2,41,D,50,0,1400,3,deepseek
2,42,D,50,0,1450,3,deepseek
2,43,D,50,0,1500,3,deepseek
2,44,D,50,0,1550,3,deepseek
2,45,D,50,0,1600,3,deepseek
2,46,D,50,0,1650,3,deepseek
2,47,D,50,0,1700,3,deepseek
2,48,D,50,0,1750,3,deepseek
2,49,D,50,0,1800,3,deepseek
2,50,D,50,0,1850,3,deepseek
2,51,D,50,-250,1650,3,deepseek
2,52,D,50,0,1700,3,deepseek
2,53,D,50,0,1750,3,deepseek
2,54,D,50,0,1800,3,deepseek
2,55,D,50,0,1850,3,deepseek
2,56,D,50,0,1900,3,deepseek
2,57,Q,100,0,2000,3,deepseek
2,58,Q,100,-250,1850,3,deepseek
2,59,D,50,-250,1650,3,deepseek
2,60,D,50,0,1700,3,deepseek
2,61,D,50,-250,1500,3,deepseek
