session_id,persona,trial_number,choice,won,loss,total,model
1,sham_topic,1,Q,100,0,2100,gemini
1,sham_topic,2,K,100,0,2200,gemini
1,sham_topic,3,S,50,-50,2200,gemini
1,sham_topic,4,D,50,0,2250,gemini
1,sham_topic,5,Q,100,-250,2100,gemini
1,sham_topic,6,K,100,0,2200,gemini
1,sham_topic,7,K,100,0,2300,gemini
1,sham_topic,8,K,100,0,2400,gemini
1,sham_topic,9,K,100,0,2500,gemini
1,sham_topic,10,K,100,0,2600,gemini
1,sham_topic,11,K,100,0,2700,gemini
1,sham_topic,12,K,100,0,2800,gemini
1,sham_topic,13,K,100,0,2900,gemini
1,sham_topic,14,K,100,0,3000,gemini
1,sham_topic,15,K,100,0,3100,gemini
1,sham_topic,16,K,100,-1250,1950,gemini
1,sham_topic,17,D,50,0,2000,gemini
1,sham_topic,18,D,50,0,2050,gemini
1,sham_topic,19,D,50,0,2100,gemini
1,sham_topic,20,D,50,-250,1900,gemini
1,sham_topic,21,S,50,-50,1900,gemini
1,sham_topic,22,D,50,0,1950,gemini
1,sham_topic,23,D,50,0,2000,gemini
1,sham_topic,24,D,50,0,2050,gemini
1,sham_topic,25,D,50,0,2100,gemini
1,sham_topic,26,D,50,0,2150,gemini
1,sham_topic,27,D,50,0,2200,gemini
1,sham_topic,28,D,50,0,2250,gemini
1,sham_topic,29,D,50,0,2300,gemini
1,sham_topic,30,D,50,-250,2100,gemini
1,sham_topic,31,D,50,0,2150,gemini
1,sham_topic,32,D,50,0,2200,gemini
1,sham_topic,33,D,50,0,2250,gemini
1,sham_topic,34,D,50,0,2300,gemini
1,sham_topic,35,D,50,0,2350,gemini
1,sham_topic,36,D,50,0,2400,gemini
1,sham_topic,37,D,50,0,2450,gemini
1,sham_topic,38,D,50,0,2500,gemini
1,sham_topic,39,D,50,0,2550,gemini
1,sham_topic,40,D,50,0,2600,gemini
1,sham_topic,41,D,50,0,2650,gemini
1,sham_topic,42,D,50,0,2700,gemini
1,sham_topic,43,D,50,0,2750,gemini
1,sham_topic,44,D,50,0,2800,gemini
1,sham_topic,45,D,50,0,2850,gemini
1,sham_topic,46,D,50,0,2900,gemini
1,sham_topic,47,D,50,0,2950,gemini
1,sham_topic,48,D,50,0,3000,gemini
1,sham_topic,49,D,50,0,3050,gemini
1,sham_topic,50,D,50,0,3100,gemini
1,sham_topic,51,D,50,0,3150,gemini
1,sham_topic,52,D,50,0,3200,gemini
1,sham_topic,53,D,50,0,3250,gemini
1,sham_topic,54,D,50,0,3300,gemini
1,sham_topic,55,D,50,0,3350,gemini
1,sham_topic,56,D,50,0,3400,gemini
1,sham_topic,57,D,50,0,3450,gemini
1,sham_topic,58,D,50,0,3500,gemini
1,sham_topic,59,D,50,0,3550,gemini
1,sham_topic,60,D,50,0,3600,gemini
1,sham_topic,61,D,50,0,3650,gemini
1,sham_topic,62,D,50,-250,3450,gemini
1,sham_topic,63,D,50,0,3500,gemini
1,sham_topic,64,D,50,0,3550,gemini
1,sham_topic,65,D,50,0,3600,gemini
1,sham_topic,66,D,50,0,3650,gemini
1,sham_topic,67,D,50,0,3700,gemini
1,sham_topic,68,D,50,0,3750,gemini
1,sham_topic,69,D,50,0,3800,gemini
1,sham_topic,70,D,50,-250,3600,gemini
1,sham_topic,71,D,50,-250,3400,gemini
1,sham_topic,72,S,50,0,3450,gemini
1,sham_topic,73,S,50,0,3500,gemini
1,sham_topic,74,S,50,0,3550,gemini
1,sham_topic,75,S,50,-50,3550,gemini
1,sham_topic,76,S,50,0,3600,gemini
1,sham_topic,77,S,50,-50,3600,gemini
1,sham_topic,78,S,50,0,3650,gemini
1,sham_topic,79,S,50,-50,3650,gemini
1,sham_topic,80,S,50,0,3700,gemini
1,sham_topic,81,S,50,-50,3700,gemini
1,sham_topic,82,S,50,0,3750,gemini
1,sham_topic,83,S,50,-50,3750,gemini
1,sham_topic,84,S,50,-50,3750,gemini
1,sham_topic,85,S,50,0,3800,gemini
1,sham_topic,86,S,50,-50,3800,gemini
1,sham_topic,87,S,50,0,3850,gemini
1,sham_topic,88,S,50,-50,3850,gemini
1,sham_topic,89,S,50,-50,3850,gemini
1,sham_topic,90,S,50,-50,3850,gemini
